Doc. No. (GL View),Posting date,Item Text,G/L Account,,Fund,Cost Center,,WBS Element,,Internal Order,,"Funds
Received",Fund Consumed
6400109648,30.04.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,39.84
6400109648,30.04.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,19.96
6400109648,30.04.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,1.92
6400110640,14.05.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,916.40
6400110640,14.05.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,12.30
6400110640,14.05.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,99.60
6400110640,14.05.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,49.90
6400110640,14.05.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.80
6400111746,28.05.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,916.40
6400111746,28.05.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,12.30
6400111746,28.05.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,99.60
6400111746,28.05.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,49.90
6400111746,28.05.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.80
6400115496,11.06.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,824.76
6400115496,11.06.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,11.07
6400115496,11.06.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,89.64
6400115496,11.06.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,44.91
6400115496,11.06.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.32
6400116373,25.06.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,916.40
6400116373,25.06.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,12.30
6400116373,25.06.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,99.60
6400116373,25.06.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,49.90
6400116373,25.06.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.80
6400118425,09.07.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,549.84
6400118425,09.07.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,7.38
6400118425,09.07.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,59.76
6400118425,09.07.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,29.94
6400118425,09.07.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,2.88
6400119607,23.07.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,366.56
6400119607,23.07.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.92
6400119607,23.07.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,39.84
6400119607,23.07.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,19.96
6400119607,23.07.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,1.92
6400122459,06.08.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,916.40
6400122459,06.08.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,12.30
6400122459,06.08.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,99.60
6400122459,06.08.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,49.90
6400122459,06.08.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.80
6400123444,20.08.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,824.76
6400123444,20.08.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,12.30
6400123444,20.08.2020,#,500046,Sick Leave,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,91.64
6400123444,20.08.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,99.60
6400123444,20.08.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,49.90
6400123444,20.08.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.80
6400124394,20.08.2020,#,500007,SASS Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,116.82
6400124394,20.08.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,1.57
6400124394,20.08.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,12.70
6400124394,20.08.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,6.37
6400124394,20.08.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,0.61
6400125923,03.09.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,440.76
6400125923,03.09.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,5.91
6400125923,03.09.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,47.91
6400125923,03.09.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,24.02
